+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 | 10 |     READY |   RUNNING |
|                 1 | 10 |   RUNNING |   WAITING |
|                 3 | 10 |   WAITING |     READY |
|                 3 | 10 |     READY |   RUNNING |
|                 4 | 10 |   RUNNING |   WAITING |
|                 6 | 10 |   WAITING |     READY |
|                 6 | 10 |     READY |   RUNNING |
|                 7 | 10 |   RUNNING |   WAITING |
|                 9 | 10 |   WAITING |     READY |
|                 9 | 10 |     READY |   RUNNING |
|                10 |  5 |       NEW |     READY |
|                10 | 10 |   RUNNING |   WAITING |
|                10 |  5 |     READY |   RUNNING |
|                11 |  5 |   RUNNING |   WAITING |
|                12 | 10 |   WAITING |     READY |
|                12 | 10 |     READY |   RUNNING |
|                13 | 10 |   RUNNING |   WAITING |
|                14 |  5 |   WAITING |     READY |
|                14 |  5 |     READY |   RUNNING |
|                15 | 10 |   WAITING |     READY |
|                15 |  5 |   RUNNING |   WAITING |
|                15 | 10 |     READY |   RUNNING |
|                16 | 10 |   RUNNING |   WAITING |
|                18 |  5 |   WAITING |     READY |
|                18 | 10 |   WAITING |     READY |
|                18 | 10 |     READY |   RUNNING |
|                19 | 10 |   RUNNING |   WAITING |
|                19 |  5 |     READY |   RUNNING |
|                20 |  1 |       NEW |     READY |
|                20 |  5 |   RUNNING |   WAITING |
|                20 |  1 |     READY |   RUNNING |
|                21 | 10 |   WAITING |     READY |
|                21 |  1 |   RUNNING |   WAITING |
|                21 | 10 |     READY |   RUNNING |
|                22 | 10 |   RUNNING |   WAITING |
|                23 |  5 |   WAITING |     READY |
|                23 |  1 |   WAITING |     READY |
|                23 |  5 |     READY |   RUNNING |
|                24 | 10 |   WAITING |     READY |
|                24 |  5 |   RUNNING |   WAITING |
|                24 | 10 |     READY |   RUNNING |
|                25 | 10 |   RUNNING |   WAITING |
|                25 |  1 |     READY |   RUNNING |
|                26 |  1 |   RUNNING |   WAITING |
|                27 |  5 |   WAITING |     READY |
|                27 | 10 |   WAITING |     READY |
|                27 | 10 |     READY |   RUNNING |
|                28 |  1 |   WAITING |     READY |
|                28 | 10 |   RUNNING |   WAITING |
|                28 |  5 |     READY |   RUNNING |
|                29 |  5 |   RUNNING |   WAITING |
|                29 |  1 |     READY |   RUNNING |
|                30 | 10 |   WAITING |     READY |
|                30 |  1 |   RUNNING |   WAITING |
|                30 | 10 |     READY |   RUNNING |
|                31 | 10 |   RUNNING |   WAITING |
|                32 |  5 |   WAITING |     READY |
|                32 |  1 |   WAITING |     READY |
|                32 |  5 |     READY |   RUNNING |
|                33 | 10 |   WAITING |     READY |
|                33 |  5 |   RUNNING |   WAITING |
|                33 | 10 |     READY |   RUNNING |
|                34 | 10 |   RUNNING |   WAITING |
|                34 |  1 |     READY |   RUNNING |
|                35 |  1 |   RUNNING |   WAITING |
|                36 |  5 |   WAITING |     READY |
|                36 | 10 |   WAITING |     READY |
|                36 | 10 |     READY |   RUNNING |
|                37 |  1 |   WAITING |     READY |
|                37 | 10 |   RUNNING |   WAITING |
|                37 |  5 |     READY |   RUNNING |
|                38 |  5 |   RUNNING |   WAITING |
|                38 |  1 |     READY |   RUNNING |
|                39 | 10 |   WAITING |     READY |
|                39 |  1 |   RUNNING |   WAITING |
|                39 | 10 |     READY |   RUNNING |
|                40 | 10 |   RUNNING |   WAITING |
|                41 |  5 |   WAITING |     READY |
|                41 |  1 |   WAITING |     READY |
|                41 |  5 |     READY |   RUNNING |
|                42 | 10 |   WAITING |     READY |
|                42 |  5 |   RUNNING |   WAITING |
|                42 | 10 |     READY |   RUNNING |
|                43 | 10 |   RUNNING |   WAITING |
|                43 |  1 |     READY |   RUNNING |
|                44 |  1 |   RUNNING |   WAITING |
|                45 |  5 |   WAITING |     READY |
|                45 | 10 |   WAITING |     READY |
|                45 | 10 |     READY |   RUNNING |
|                46 |  1 |   WAITING |     READY |
|                46 | 10 |   RUNNING |   WAITING |
|                46 |  5 |     READY |   RUNNING |
|                47 |  5 |   RUNNING |   WAITING |
|                47 |  1 |     READY |   RUNNING |
|                48 | 10 |   WAITING |     READY |
|                48 |  1 |   RUNNING |   WAITING |
|                48 | 10 |     READY |   RUNNING |
|                49 | 10 |   RUNNING |   WAITING |
|                50 |  5 |   WAITING |     READY |
|                50 |  1 |   WAITING |     READY |
|                50 |  5 |     READY |   RUNNING |
|                51 | 10 |   WAITING |     READY |
|                51 |  5 |   RUNNING |   WAITING |
|                51 | 10 |     READY |   RUNNING |
|                52 | 10 |   RUNNING |   WAITING |
|                52 |  1 |     READY |   RUNNING |
|                53 |  1 |   RUNNING |   WAITING |
|                54 |  5 |   WAITING |     READY |
|                54 | 10 |   WAITING |     READY |
|                54 | 10 |     READY |   RUNNING |
|                55 |  1 |   WAITING |     READY |
|                55 | 10 |   RUNNING |   WAITING |
|                55 |  5 |     READY |   RUNNING |
|                56 |  5 |   RUNNING |   WAITING |
|                56 |  1 |     READY |   RUNNING |
|                57 | 10 |   WAITING |     READY |
|                57 |  1 |   RUNNING |   WAITING |
|                57 | 10 |     READY |   RUNNING |
|                58 | 10 |   RUNNING |   WAITING |
|                59 |  5 |   WAITING |     READY |
|                59 |  1 |   WAITING |     READY |
|                59 |  5 |     READY |   RUNNING |
|                60 | 10 |   WAITING |     READY |
|                60 |  5 |   RUNNING |   WAITING |
|                60 | 10 |     READY |   RUNNING |
|                61 | 10 |   RUNNING |   WAITING |
