+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|                72 |  5 |   WAITING |     READY |
|                72 | 10 |   WAITING |     READY |
|                72 |  5 |     READY |   RUNNING |
|                73 |  1 |   WAITING |     READY |
|                73 |  5 |   RUNNING |   WAITING |
|                73 |  1 |     READY |   RUNNING |
|                74 |  1 |   RUNNING |   WAITING |
|                74 | 10 |     READY |   RUNNING |
|                75 | 10 |   RUNNING |   WAITING |
|                76 |  5 |   WAITING |     READY |
|                76 |  1 |   WAITING |     READY |
|                76 |  1 |     READY |   RUNNING |
|                77 | 10 |   WAITING |     READY |
|                77 |  1 |   RUNNING |   WAITING |
|                77 |  5 |     READY |   RUNNING |
|                78 |  5 |   RUNNING |   WAITING |
|                78 | 10 |     READY |   RUNNING |
|                79 |  1 |   WAITING |     READY |
|                79 | 10 |   RUNNING |   WAITING |
|                79 |  1 |     READY |   RUNNING |
|                80 |  1 |   RUNNING |   WAITING |
|                81 |  5 |   WAITING |     READY |
|                81 | 10 |   WAITING |     READY |
|                81 |  5 |     READY |   RUNNING |
|                82 |  1 |   WAITING |     READY |
|                82 |  5 |   RUNNING |   WAITING |
|                82 |  1 |     READY |   RUNNING |
|                83 |  1 |   RUNNING |   WAITING |
|                83 | 10 |     READY |   RUNNING |
|                84 | 10 |   RUNNING |   WAITING |
|                85 |  5 |   WAITING |     READY |
|                85 |  1 |   WAITING |     READY |
|                85 |  1 |     READY |   RUNNING |
|                86 | 10 |   WAITING |     READY |
|                86 |  1 |   RUNNING |   WAITING |
|                86 |  5 |     READY |   RUNNING |
|                87 |  5 |   RUNNING |   WAITING |
|                87 | 10 |     READY |   RUNNING |
|                88 |  1 |   WAITING |     READY |
|                88 | 10 |   RUNNING |   WAITING |
|                88 |  1 |     READY |   RUNNING |
|                89 |  1 |   RUNNING |   WAITING |
|                90 |  5 |   WAITING |     READY |
|                90 | 10 |   WAITING |     READY |
|                90 |  5 |     READY |   RUNNING |
|                91 |  1 |   WAITING |     READY |
|                91 |  5 |   RUNNING |   WAITING |
|                91 |  1 |     READY |   RUNNING |
|                92 |  1 |   RUNNING |   WAITING |
|                92 | 10 |     READY |   RUNNING |
|                93 | 10 |   RUNNING |   WAITING |
